label,area_0,area_1,area_2,area_3,area_4
1,16,3201.5,0,0,0
1,0.5,9,126,73,9.5
1,46.5,287,79,190.5,0
1,180.5,0,6.5,42,8
1,2.5,0,102,0.5,122.5
1,0,30.5,1.5,0,146
1,5.5,26,26.5,0,466
1,14,0,0,0,464
1,0,7,0,0,257.5
1,23,14.5,0,82.5,46.5
1,10,75.5,87,0,43
1,4.5,2957,4481,9,0
1,11.5,20.5,3.5,222.5,2
1,0,1,9.5,21.5,76
1,28.5,9,28.5,1280.5,2.5
1,1.5,46.5,160.5,3.5,2
1,26.5,68.5,27.5,4,421.5
1,14,2,7.5,12.5,0.5
1,24.5,0.5,16,18.5,1.5
1,0,0,1.5,0,6.5
1,0.5,1.5,23.5,7,163
1,53.5,751.5,549.5,11.5,578
1,58.5,7.5,7,117.5,10.5
1,50,4,80,4,13
1,29.5,9,28.5,1279.5,2.5
1,0,391.5,2,151.5,403
1,0,81.5,11.5,0,0
1,0,5,254,2.5,4.5
1,9,0,41.5,3,18
1,151,0,71,17.5,1377.5
1,1.5,0,0,335,0
1,47.5,294.5,129,0,1
1,19.5,189.5,13,0,314.5
1,6.5,14.5,115,74,13
1,0,0,0,5,44
1,0,6.5,232.5,30.5,427.5
1,578,0.5,0,0,0
1,234,112,4.5,67.5,213.5
1,10,75.5,87,0,43
1,0,0,14.5,3,70.5
1,240,0,294.5,19.5,0
1,223,24.5,302.5,0,0
1,6.5,1,120,51,4
1,0.5,22,2957,98,4
1,59,114,1.5,11,2
1,58.5,7.5,7,117.5,10.5
1,50,4,80,4,13
1,7,50,1,687.5,6.5
1,153.5,4.5,66,0,404.5
1,11,545,157.5,55.5,56.5
1,0,5,254,2.5,4.5
1,76.5,0,8,0,0
1,10.5,6,1,82,24.5
1,0,0.5,2,21.5,306.5
1,2,0,6.5,0,4.5
1,2,10,5,9,0
1,3.5,40.5,61,0,19.5
1,0,0,1,1,0
1,40,19.5,21.5,3,24
1,0,0,1,2,0
1,0,19,0,0,44.5
1,2.5,1,0,0,0
1,66,4.5,1.5,107,48.5
1,25.5,4,0,88,1
1,2,30.5,339.5,6,99
1,0,2.5,0,0,17
1,4,48,32.5,41,1.5
1,0,0,0,0,0
1,16,2.5,4.5,28.5,46.5
1,0,301,0,0,0
1,10,38,4997,0,0
1,3,1930.5,3925.5,917.5,368
1,28.5,2,20,15,24.5
1,0,8,21,0,1
1,134,3153.5,1.5,0,0
1,48,76,8.5,10,134
1,0,0,2,4.5,4
1,552.5,6.5,13,37,12.5
1,2,2,86.5,3.5,1811
1,1,6,26,13.5,13
1,6,20.5,36,1,6.5
1,0,2.5,0,1,2
1,0,2,3,2,15
1,141.5,0,0,71.5,40
1,16.5,68,2.5,68,22.5
1,0,214.5,317,6,2
1,0,0,0,0,0
1,13,59,465.5,7,16
1,699,64.5,5,0,561.5
1,45,18,8.5,1.5,0
1,122,10,163,2793,1156
1,1.5,77.5,162,3.5,119
1,55,24,11.5,0.5,0
1,187.5,1,7,0,200.5
1,61,0,0,1.5,5
1,4150,332,0,12.5,1221.5
1,23,14.5,0,82.5,46.5
1,0,5,254,2.5,4.5
1,5.5,3114.5,447.5,0,0
1,68,18,48.5,268.5,6.5
1,0.5,9,126,73,9.5
1,187.5,1,7,0,200.5
1,0,9,0.5,0,8.5
1,3,2,0,0,6
1,28,79.5,114,0,23
1,41.5,59.5,19.5,29.5,12
1,0,2,2,24,5.5
1,5.5,393,0,0,0
1,1,0,28.5,0,0
1,1.5,7.5,17,11,27
1,11,62.5,5,4,89
1,0,0,14.5,3,70.5
1,585,0.5,0,0,0
1,6.5,3.5,8,54.5,147.5
1,0,0,0,14.5,19.5
1,4,98,0,0,0
1,187.5,1,7,0,200.5
1,3.5,9,73.5,40,6.5
1,11.5,4,0,1,63.5
1,3,26.5,41.5,8.5,6.5
1,22,2,0,102,1
1,0,0,0,11.5,20
1,0,12.5,36,25.5,7
1,584.5,6,283,35.5,178.5
1,61,0,0,1.5,5
1,68,16,47.5,267.5,7.5
1,2.5,37,303,29.5,47.5
1,4,23,472.5,0,0
1,552.5,6.5,13,37,12.5
1,25.5,39.5,358,74.5,1
1,187.5,1,7,0,200.5
1,233.5,112,7.5,68.5,216
1,0,23.5,2.5,0,10
1,3.5,9,73.5,40,6.5
1,0,0,386,98.5,14
1,0,205,0,9.5,2
1,0,4.5,120,0.5,7
1,72,2,4,25,1.5
1,151,0,71,17.5,1377.5
1,5.5,3112.5,447.5,0,0
1,2,0,21.5,29,71.5
1,1.5,1.5,0.5,1,0
1,1.5,4,35.5,12.5,1064
1,18,15.5,816,2,68
1,64850,68400,0,0,0
1,0,0,7,0,57
1,11.5,0,67.5,6.5,2
1,12,28,34,22,5
1,28.5,10,0,0,0
1,26,0,0,0,0
1,0,0,0,19.5,15.5
1,16,237.5,4709.5,59.5,0
1,3,0,1.5,8.5,43.5
1,24,4,18.5,1.5,85
1,16,3201.5,0,0,0
1,0.5,9,126,73,9.5
1,46.5,287,79,190.5,0
1,180.5,0,6.5,42,8
1,2.5,0,102,0.5,122.5
1,0,30.5,1.5,0,146
1,5.5,26,26.5,0,466
1,14,0,0,0,464
1,0,7,0,0,257.5
1,23,14.5,0,82.5,46.5
1,10,75.5,87,0,43
1,4.5,2957,4481,9,0
1,11.5,20.5,3.5,222.5,2
1,0,1,9.5,21.5,76
1,28.5,9,28.5,1280.5,2.5
1,1.5,46.5,160.5,3.5,2
1,26.5,68.5,27.5,4,421.5
1,14,2,7.5,12.5,0.5
1,24.5,0.5,16,18.5,1.5
1,0,0,1.5,0,6.5
1,0.5,1.5,23.5,7,163
1,53.5,751.5,549.5,11.5,578
1,58.5,7.5,7,117.5,10.5
1,50,4,80,4,13
1,29.5,9,28.5,1279.5,2.5
1,0,391.5,2,151.5,403
1,0,81.5,11.5,0,0
1,0,5,254,2.5,4.5
1,9,0,41.5,3,18
1,151,0,71,17.5,1377.5
1,1.5,0,0,335,0
1,47.5,294.5,129,0,1
1,19.5,189.5,13,0,314.5
1,6.5,14.5,115,74,13
1,0,0,0,5,44
1,0,6.5,232.5,30.5,427.5
1,578,0.5,0,0,0
1,234,112,4.5,67.5,213.5
1,10,75.5,87,0,43
1,0,0,14.5,3,70.5
1,240,0,294.5,19.5,0
1,223,24.5,302.5,0,0
1,6.5,1,120,51,4
1,0.5,22,2957,98,4
1,59,114,1.5,11,2
1,58.5,7.5,7,117.5,10.5
1,50,4,80,4,13
1,7,50,1,687.5,6.5
1,153.5,4.5,66,0,404.5
1,11,545,157.5,55.5,56.5
1,0,5,254,2.5,4.5
1,76.5,0,8,0,0
1,10.5,6,1,82,24.5
1,0,0.5,2,21.5,306.5
1,2,0,6.5,0,4.5
1,2,10,5,9,0
1,3.5,40.5,61,0,19.5
1,0,0,1,1,0
1,40,19.5,21.5,3,24
1,0,0,1,2,0
1,0,19,0,0,44.5
1,2.5,1,0,0,0
1,66,4.5,1.5,107,48.5
1,25.5,4,0,88,1
1,2,30.5,339.5,6,99
1,0,2.5,0,0,17
1,4,48,32.5,41,1.5
1,0,0,0,0,0
1,16,2.5,4.5,28.5,46.5
1,0,301,0,0,0
1,10,38,4997,0,0
1,3,1930.5,3925.5,917.5,368
1,28.5,2,20,15,24.5
1,0,8,21,0,1
1,134,3153.5,1.5,0,0
1,48,76,8.5,10,134
1,0,0,2,4.5,4
1,552.5,6.5,13,37,12.5
1,2,2,86.5,3.5,1811
1,1,6,26,13.5,13
1,6,20.5,36,1,6.5
1,0,2.5,0,1,2
1,0,2,3,2,15
1,141.5,0,0,71.5,40
1,16.5,68,2.5,68,22.5
1,0,214.5,317,6,2
1,0,0,0,0,0
1,13,59,465.5,7,16
1,699,64.5,5,0,561.5
1,45,18,8.5,1.5,0
1,122,10,163,2793,1156
1,1.5,77.5,162,3.5,119
1,55,24,11.5,0.5,0
1,187.5,1,7,0,200.5
1,61,0,0,1.5,5
1,4150,332,0,12.5,1221.5
1,23,14.5,0,82.5,46.5
1,0,5,254,2.5,4.5
1,5.5,3114.5,447.5,0,0
1,68,18,48.5,268.5,6.5
1,0.5,9,126,73,9.5
1,187.5,1,7,0,200.5
1,0,9,0.5,0,8.5
1,3,2,0,0,6
1,28,79.5,114,0,23
1,41.5,59.5,19.5,29.5,12
1,0,2,2,24,5.5
1,5.5,393,0,0,0
1,1,0,28.5,0,0
1,1.5,7.5,17,11,27
1,11,62.5,5,4,89
1,0,0,14.5,3,70.5
1,585,0.5,0,0,0
1,6.5,3.5,8,54.5,147.5
1,0,0,0,14.5,19.5
1,4,98,0,0,0
1,187.5,1,7,0,200.5
1,3.5,9,73.5,40,6.5
1,11.5,4,0,1,63.5
1,3,26.5,41.5,8.5,6.5
1,22,2,0,102,1
1,0,0,0,11.5,20
1,0,12.5,36,25.5,7
1,584.5,6,283,35.5,178.5
1,61,0,0,1.5,5
1,68,16,47.5,267.5,7.5
1,2.5,37,303,29.5,47.5
1,4,23,472.5,0,0
1,552.5,6.5,13,37,12.5
1,25.5,39.5,358,74.5,1
1,187.5,1,7,0,200.5
1,233.5,112,7.5,68.5,216
1,0,23.5,2.5,0,10
1,3.5,9,73.5,40,6.5
1,0,0,386,98.5,14
1,0,205,0,9.5,2
1,0,4.5,120,0.5,7
1,72,2,4,25,1.5
1,151,0,71,17.5,1377.5
1,5.5,3112.5,447.5,0,0
1,2,0,21.5,29,71.5
1,1.5,1.5,0.5,1,0
1,1.5,4,35.5,12.5,1064
1,18,15.5,816,2,68
1,64850,68400,0,0,0
1,0,0,7,0,57
1,11.5,0,67.5,6.5,2
1,12,28,34,22,5
1,28.5,10,0,0,0
1,26,0,0,0,0
1,0,0,0,19.5,15.5
1,16,237.5,4709.5,59.5,0
1,3,0,1.5,8.5,43.5
1,24,4,18.5,1.5,85
0,0,0,0,0,0
0,0,173.5,0,0,0
0,17,2.5,0,0,10
0,0,0,0,7,114
0,1.5,4.5,1041.5,0,661
0,0.5,1.5,8.5,73.5,153.5
0,0,0,1,0,0
0,3,4.5,0,0,0
0,120.5,21,17.5,47,92.5
0,12.5,12,2.5,4,0
0,0.5,3,8,0.5,0
0,4,0,0,0,59
0,1,0,318.5,1,1.5
0,0,1,5,88,10.5
0,22.5,0,0,27.5,0
0,4,0,0,0,0
0,0,0,1,0,0
0,311.5,482.5,4,8.5,0
0,0,0,0,9.5,103.5
0,142.5,6,9,112,0
0,231.5,311,181,1.5,26
0,12.5,1380,64,0,0
0,53.5,90,49.5,20.5,55
0,0,0,0,0,0
0,16,0,0,0,0
0,1,0,2,0,0
0,23,69.5,8,54.5,89.5
0,29.5,6,77.5,0,16
0,245.5,13.5,3,4,17.5
0,0,0,9,0.5,0
0,11.5,8.5,14.5,5.5,1
0,7,562.5,0,0,1.5
0,7,562.5,0,0,1.5
0,0,0,0,7,114
0,27.5,26,24.5,18,150
0,61,9,11,0,1.5
0,3,4,29.5,1,14.5
0,13.5,11.5,134.5,107,130
0,0,0,0,0,0
0,0,0,0,0,0
0,1.5,9.5,1.5,0,19
0,0,0,0,0,0
0,82.5,0,0,0,0
0,1.5,1,1.5,0.5,0
0,245.5,13.5,3,4,17.5
0,0,0,0,0,0
0,1.5,11,524,47391,57540
0,0,3,4.5,0,7.5
0,99,2,2,3,1930.5
0,0,22,292,214.5,0
0,5.5,4,108.5,11,5
0,1,0,0,0,0
0,16,0,10,5,25
0,22.5,5.5,0,0,0
0,80,102,17,0,5
0,2.5,1,0,0,259
0,48.5,8.5,28.5,111,85
0,309.5,17,5.5,0,10.5
0,11.5,8.5,14.5,5.5,1
0,3,18,23.5,19,4
0,0,0,0,0,0
0,0,17.5,7,10.5,23.5
0,0,0,0,0,0
0,0,13.5,18,50.5,91.5
0,40.5,60.5,61.5,9,0
0,309.5,17,5.5,0,10.5
0,0.5,73,3,1,2
0,45.5,57.5,2401,8,14.5
0,6,0,0,0,0
0,80.5,19,4.5,5,18
0,0,0,0,0,0
0,385.5,3,0,0,0
0,29,1,2.5,73,70.5
0,142,0,1133,0,0
0,6000.5,28.5,0,17.5,0
0,4,5266.5,0,0,0
0,24.5,18,8974,2078,0
0,0,0,412,0,1525
0,133.5,155,4575.5,107,3
0,4.5,74,7,46,81.5
0,27,5,34.5,0,287
0,2,6.5,0,0,66
0,154,108.5,0,0,43.5
0,0,0,0,8,17.5
0,47.5,7.5,79.5,20,47.5
0,0,0,0,8,17.5
0,0,0,0,0,0
0,0,10.5,0,4,50
0,4.5,0,38.5,1.5,8
0,11.5,5.5,13.5,140,10.5
0,5.5,1.5,2,955,81.5
0,0,0,0,0,0
0,0,173.5,0,0,0
0,17,2.5,0,0,10
0,0,0,0,7,114
0,1.5,4.5,1041.5,0,661
0,0.5,1.5,8.5,73.5,153.5
0,0,0,1,0,0
0,3,4.5,0,0,0
0,120.5,21,17.5,47,92.5
0,12.5,12,2.5,4,0
0,0.5,3,8,0.5,0
0,4,0,0,0,59
0,1,0,318.5,1,1.5
0,0,1,5,88,10.5
0,22.5,0,0,27.5,0
0,4,0,0,0,0
0,0,0,1,0,0
0,311.5,482.5,4,8.5,0
0,0,0,0,9.5,103.5
0,142.5,6,9,112,0
0,231.5,311,181,1.5,26
0,12.5,1380,64,0,0
0,53.5,90,49.5,20.5,55
0,0,0,0,0,0
0,16,0,0,0,0
0,1,0,2,0,0
0,23,69.5,8,54.5,89.5
0,29.5,6,77.5,0,16
0,245.5,13.5,3,4,17.5
0,0,0,9,0.5,0
0,11.5,8.5,14.5,5.5,1
0,7,562.5,0,0,1.5
0,7,562.5,0,0,1.5
0,0,0,0,7,114
0,27.5,26,24.5,18,150
0,61,9,11,0,1.5
0,3,4,29.5,1,14.5
0,13.5,11.5,134.5,107,130
0,0,0,0,0,0
0,0,0,0,0,0
0,1.5,9.5,1.5,0,19
0,0,0,0,0,0
0,82.5,0,0,0,0
0,1.5,1,1.5,0.5,0
0,245.5,13.5,3,4,17.5
0,0,0,0,0,0
0,1.5,11,524,47391,57540
0,0,3,4.5,0,7.5
0,99,2,2,3,1930.5
0,0,22,292,214.5,0
0,5.5,4,108.5,11,5
0,1,0,0,0,0
0,16,0,10,5,25
0,22.5,5.5,0,0,0
0,80,102,17,0,5
0,2.5,1,0,0,259
0,48.5,8.5,28.5,111,85
0,309.5,17,5.5,0,10.5
0,11.5,8.5,14.5,5.5,1
0,3,18,23.5,19,4
0,0,0,0,0,0
0,0,17.5,7,10.5,23.5
0,0,0,0,0,0
0,0,13.5,18,50.5,91.5
0,40.5,60.5,61.5,9,0
0,309.5,17,5.5,0,10.5
0,0.5,73,3,1,2
0,45.5,57.5,2401,8,14.5
0,6,0,0,0,0
0,80.5,19,4.5,5,18
0,0,0,0,0,0
0,385.5,3,0,0,0
0,29,1,2.5,73,70.5
0,142,0,1133,0,0
0,6000.5,28.5,0,17.5,0
0,4,5266.5,0,0,0
0,24.5,18,8974,2078,0
0,0,0,412,0,1525
0,133.5,155,4575.5,107,3
0,4.5,74,7,46,81.5
0,27,5,34.5,0,287
0,2,6.5,0,0,66
0,154,108.5,0,0,43.5
0,0,0,0,8,17.5
0,47.5,7.5,79.5,20,47.5
0,0,0,0,8,17.5
0,0,0,0,0,0
0,0,10.5,0,4,50
0,4.5,0,38.5,1.5,8
0,11.5,5.5,13.5,140,10.5
0,5.5,1.5,2,955,81.5
0,0,0,0,0,0
0,0,173.5,0,0,0
0,17,2.5,0,0,10
0,0,0,0,7,114
0,1.5,4.5,1041.5,0,661
0,0.5,1.5,8.5,73.5,153.5
0,0,0,1,0,0
0,3,4.5,0,0,0
0,120.5,21,17.5,47,92.5
0,12.5,12,2.5,4,0
0,0.5,3,8,0.5,0
0,4,0,0,0,59
0,1,0,318.5,1,1.5
0,0,1,5,88,10.5
0,22.5,0,0,27.5,0
0,4,0,0,0,0
0,0,0,1,0,0
0,311.5,482.5,4,8.5,0
0,0,0,0,9.5,103.5
0,142.5,6,9,112,0
0,231.5,311,181,1.5,26
0,12.5,1380,64,0,0
0,53.5,90,49.5,20.5,55
0,0,0,0,0,0
0,16,0,0,0,0
0,1,0,2,0,0
0,23,69.5,8,54.5,89.5
0,29.5,6,77.5,0,16
0,245.5,13.5,3,4,17.5
0,0,0,9,0.5,0
0,11.5,8.5,14.5,5.5,1
0,7,562.5,0,0,1.5
0,7,562.5,0,0,1.5
0,0,0,0,7,114
0,27.5,26,24.5,18,150
0,61,9,11,0,1.5
0,3,4,29.5,1,14.5
0,13.5,11.5,134.5,107,130
0,0,0,0,0,0
0,0,0,0,0,0
0,1.5,9.5,1.5,0,19
0,0,0,0,0,0
0,82.5,0,0,0,0
0,1.5,1,1.5,0.5,0
0,245.5,13.5,3,4,17.5
0,0,0,0,0,0
0,1.5,11,524,47391,57540
0,0,3,4.5,0,7.5
0,99,2,2,3,1930.5
0,0,22,292,214.5,0
0,5.5,4,108.5,11,5
0,1,0,0,0,0
0,16,0,10,5,25
0,22.5,5.5,0,0,0
0,80,102,17,0,5
0,2.5,1,0,0,259
0,48.5,8.5,28.5,111,85
0,309.5,17,5.5,0,10.5
0,11.5,8.5,14.5,5.5,1
0,3,18,23.5,19,4
0,0,0,0,0,0
0,0,17.5,7,10.5,23.5
0,0,0,0,0,0
0,0,13.5,18,50.5,91.5
0,40.5,60.5,61.5,9,0
0,309.5,17,5.5,0,10.5
0,0.5,73,3,1,2
0,45.5,57.5,2401,8,14.5
0,6,0,0,0,0
0,80.5,19,4.5,5,18
0,0,0,0,0,0
0,385.5,3,0,0,0
0,29,1,2.5,73,70.5
0,142,0,1133,0,0
0,6000.5,28.5,0,17.5,0
0,4,5266.5,0,0,0
0,24.5,18,8974,2078,0
0,0,0,412,0,1525
0,133.5,155,4575.5,107,3
0,4.5,74,7,46,81.5
0,27,5,34.5,0,287
0,2,6.5,0,0,66
0,154,108.5,0,0,43.5
0,0,0,0,8,17.5
0,47.5,7.5,79.5,20,47.5
0,0,0,0,8,17.5
0,0,0,0,0,0
0,0,10.5,0,4,50
0,4.5,0,38.5,1.5,8
0,11.5,5.5,13.5,140,10.5
0,5.5,1.5,2,955,81.5
0,0,0,0,0,0
0,0,173.5,0,0,0
0,17,2.5,0,0,10
0,0,0,0,7,114
0,1.5,4.5,1041.5,0,661
0,0.5,1.5,8.5,73.5,153.5
0,0,0,1,0,0
0,3,4.5,0,0,0
0,120.5,21,17.5,47,92.5
0,12.5,12,2.5,4,0
0,0.5,3,8,0.5,0
0,4,0,0,0,59
0,1,0,318.5,1,1.5
0,0,1,5,88,10.5
0,22.5,0,0,27.5,0
0,4,0,0,0,0
0,0,0,1,0,0
0,311.5,482.5,4,8.5,0
0,0,0,0,9.5,103.5
0,142.5,6,9,112,0
0,231.5,311,181,1.5,26
0,12.5,1380,64,0,0
0,53.5,90,49.5,20.5,55
0,0,0,0,0,0
0,16,0,0,0,0
0,1,0,2,0,0
0,23,69.5,8,54.5,89.5
0,29.5,6,77.5,0,16
0,245.5,13.5,3,4,17.5
0,0,0,9,0.5,0
0,11.5,8.5,14.5,5.5,1
0,7,562.5,0,0,1.5
0,7,562.5,0,0,1.5
0,0,0,0,7,114
0,27.5,26,24.5,18,150
0,61,9,11,0,1.5
0,3,4,29.5,1,14.5
0,13.5,11.5,134.5,107,130
0,0,0,0,0,0
0,0,0,0,0,0
0,1.5,9.5,1.5,0,19
0,0,0,0,0,0
0,82.5,0,0,0,0
0,1.5,1,1.5,0.5,0
0,245.5,13.5,3,4,17.5
0,0,0,0,0,0
0,1.5,11,524,47391,57540
0,0,3,4.5,0,7.5
0,99,2,2,3,1930.5
0,0,22,292,214.5,0
0,5.5,4,108.5,11,5
0,1,0,0,0,0
0,16,0,10,5,25
0,22.5,5.5,0,0,0
0,80,102,17,0,5
0,2.5,1,0,0,259
0,48.5,8.5,28.5,111,85
0,309.5,17,5.5,0,10.5
0,11.5,8.5,14.5,5.5,1
0,3,18,23.5,19,4
0,0,0,0,0,0
0,0,17.5,7,10.5,23.5
0,0,0,0,0,0
0,0,13.5,18,50.5,91.5
0,40.5,60.5,61.5,9,0
0,309.5,17,5.5,0,10.5
0,0.5,73,3,1,2
0,45.5,57.5,2401,8,14.5
0,6,0,0,0,0
0,80.5,19,4.5,5,18
0,0,0,0,0,0
0,385.5,3,0,0,0
0,29,1,2.5,73,70.5
0,142,0,1133,0,0
0,6000.5,28.5,0,17.5,0
0,4,5266.5,0,0,0
0,24.5,18,8974,2078,0
0,0,0,412,0,1525
0,133.5,155,4575.5,107,3
0,4.5,74,7,46,81.5
0,27,5,34.5,0,287
0,2,6.5,0,0,66
0,154,108.5,0,0,43.5
0,0,0,0,8,17.5
0,47.5,7.5,79.5,20,47.5
0,0,0,0,8,17.5
0,0,0,0,0,0
0,0,10.5,0,4,50
0,4.5,0,38.5,1.5,8
0,11.5,5.5,13.5,140,10.5
0,5.5,1.5,2,955,81.5
